,Occupation,NickName,UsualFirstName,JerseyNumber,Position,IsStarter,IdActor
0,Player,Pentz,Patrick,1,GoalKeeper,True,869616
1,Player,Suttner,Markus,29,WideDefenderLeft,True,349538
2,Player,Palmer-Brown,Erik,4,CentralDefenderLeft,True,747138
3,Player,Schoßwendter,Christoph,2,CentralDefenderRight,True,507914
4,Player,Zwierschitz,Stephan,8,WideDefenderRight,True,740462
5,Player,Wimmer,Patrick,9,WideMidfielderLeft,True,1188348
6,Player,Jukic,Aleksandar,77,CentralMidfielderLeft,True,1142529
7,Player,Ebner,Thomas,27,CentralMidfielderRight,True,704169
8,Player,Teigl,Georg,39,WideMidfielderRight,True,597710
9,Player,Pichler,Benedikt,11,CenterForward,True,1169228
10,Player,Fitz,Dominik,36,SupportingCenterForward,True,952727
11,Player,Sarkaria,Manprit,70,WideMidfielderLeft,False,952729
12,Player,Handl,Johannes,46,CentralDefenderRight,False,1164715
13,Player,Hahn,Niels,6,SupportingCenterForward,False,1126502
14,Player,Grunwald,Alexander,10,CentralMidfielderLeft,False,401851
15,Player,Kos,Mirko,99,Undefined,False,952712
16,Player,Turgeman,Alon,26,Undefined,False,608576
17,Player,Braunoder,Matthias,30,Undefined,False,1166261
18,Coach,Stoger,Peter,,,,612336
